floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,wallsMaterial
5,5.0,61.4,6.8,55.735155000000006,37.589195,15000000,1
3,12.0,62.2,7.1,55.785878,37.601034000000006,15500000,3
1,5.0,60.0,11.0,55.771337,37.635566,15700000,1
6,9.0,62.5,10.5,55.773034,37.675765000000006,18900000,1
6,6.0,60.0,7.0,55.769059,37.630715,19000000,1
7,9.0,63.3,7.0,55.782856,37.592321000000005,15200000,3
8,8.0,64.8,7.0,55.782198,37.670645,12400000,1
2,14.0,63.0,7.0,55.721351,37.624409,15500000,3
3,5.0,64.2,9.0,55.774629,37.627696,18300000,1
1,9.0,64.0,9.5,55.733812,37.661787,11200000,4
3,3.0,63.0,7.0,55.748148,37.67608,13900000,1
7,16.0,63.0,11.1,55.776006,37.646274,14650000,3
5,7.0,63.0,10.0,55.77629399999999,37.672163,14780000,2
4,6.0,64.3,8.3,55.725326,37.567051,17600000,1
2,6.0,63.0,18.0,55.76191800000001,37.649624,22500000,1
6,14.0,63.1,12.5,55.766116,37.567051,24450000,5
7,7.0,64.0,10.0,55.725275,37.624822,24750000,2
7,17.0,63.0,15.0,55.791289,37.598959,28990000,5
7,10.0,64.0,8.5,55.754801,37.58455,29500000,1
4,8.0,63.9,8.0,55.743497,37.633733,29900000,1
7,10.0,63.0,24.3,55.783357,37.599381,35990000,5
7,10.0,63.0,24.3,55.783357,37.599381,36600000,5
2,5.0,63.9,10.0,55.764425,37.65214,36500000,5
7,10.0,63.3,12.0,55.736422,37.651735,18000000,1
6,44.0,66.1,14.0,55.77080600000001,37.564212,19000000,5
9,13.0,65.4,15.0,55.768527,37.592132,27500000,5
4,6.0,65.0,8.0,55.722117,37.627867,16500000,1
5,21.0,65.3,8.4,55.737709,37.689932,17280000,5
5,7.0,65.5,7.0,55.728353000000006,37.564913,19990000,1
4,12.0,66.1,28.0,55.738292,37.676062,18500000,4
5,11.0,66.1,9.0,55.754897,37.569872,26500000,1
2,12.0,67.0,11.0,55.777464,37.690911,12900000,3
1,5.0,66.0,8.0,55.759765,37.551061,14300000,1
4,12.0,65.0,7.0,55.785878,37.601034000000006,18000000,3
4,12.0,66.0,28.0,55.738292,37.676062,18500000,4
4,4.0,67.5,5.0,55.767149,37.634892,21990000,1
4,4.0,65.4,7.0,55.746375,37.592033,22000000,1
2,5.0,65.0,10.0,55.745149,37.59692,22100000,1
5,6.0,67.0,11.0,55.729807,37.62978,22800000,1
3,9.0,65.5,10.0,55.76570600000001,37.579277000000005,24000000,1
6,9.0,66.0,10.0,55.761502,37.598663,30000000,1
11,85.0,65.0,15.0,55.750028,37.534397,31900000,5
11,85.0,65.0,15.0,55.74938,37.534092,31900000,5
14,24.0,65.0,9.0,55.74711,37.642815,38800000,6
3,16.0,65.5,8.0,55.77579300000001,37.689042,13800000,4
2,16.0,65.0,8.1,55.787923,37.632224,15000000,5
2,5.0,67.0,8.0,55.737345,37.65876,17500000,1
3,14.0,67.0,8.0,55.75461800000001,37.582682,17900000,5
5,7.0,66.0,3.3,55.77629399999999,37.672163,18300000,1
7,15.0,66.4,8.4,55.731075,37.633985,18800000,1
10,19.0,67.1,14.5,55.774548,37.641566,18788000,5
38,65.0,68.0,12.0,55.751143000000006,37.533733000000005,28840100,5
37,65.0,68.0,12.0,55.751143000000006,37.533733000000005,28655970,5
2,12.0,69.0,7.2,55.748665,37.57687,21000000,1
33,44.0,68.0,20.0,55.77080600000001,37.564212,21200000,5
5,7.0,68.0,15.0,55.754198,37.598645,45000000,1
7,8.0,69.2,7.2,55.782198,37.670645,12500000,1
2,8.0,69.0,9.0,55.755783,37.567985,20800000,1
5,12.0,69.0,9.0,55.734648,37.658248,22000000,1
2,10.0,68.8,22.0,55.751903000000006,37.664069,28800000,5
5,8.0,69.2,8.8,55.75849300000001,37.613198,39000000,6
1,6.0,68.0,5.5,55.737633,37.67422,18500000,1
7,7.0,70.0,6.0,55.788054,37.635979,18500000,1
25,44.0,69.0,15.0,55.77080600000001,37.564212,18500000,5
5,10.0,68.3,14.0,55.77517,37.674022,28754300,5
4,8.0,70.0,8.0,55.742215,37.585035,35900000,6
3,6.0,68.0,15.0,55.744774,37.659865,69200000,5
3,14.0,72.0,20.0,55.766111,37.567869,27950000,5
5,12.0,72.0,6.4,55.74711,37.642815,38000000,1
5,25.0,70.0,12.0,55.756401,37.537065000000005,23900000,2
3,6.0,70.0,12.0,55.773241000000006,37.603657,24900000,1
7,12.0,72.0,15.0,55.722142000000005,37.618569,49500000,1
1,5.0,71.2,6.0,55.773682,37.583436,17950000,1
1,3.0,70.3,7.0,55.741247,37.637425,20500000,1
8,8.0,72.0,7.8,55.771646,37.584469,20400000,1
6,17.0,72.71,12.1,55.761644,37.550567,52500000,5
3,6.0,70.4,7.1,55.742889,37.663422,25000000,6
1,5.0,72.1,7.0,55.77856800000001,37.643965,15499999,1
3,22.0,72.5,9.8,55.745473,37.67784,19000000,3
7,7.0,70.0,8.0,55.777616,37.66097,20000000,6
3,14.0,70.5,8.0,55.779428,37.639222,20500000,1
2,5.0,72.1,8.3,55.7242,37.57554,20500000,6
2,8.0,71.0,7.5,55.773596,37.590506,23600000,6
3,6.0,70.4,7.1,55.742889,37.663422,25000000,1
5,5.0,71.0,8.0,55.750722,37.582412,25870000,1
7,79.0,72.0,19.0,55.751143000000006,37.533733000000005,25990000,5
7,79.0,72.0,19.0,55.751143000000006,37.533733000000005,26000000,5
4,8.0,72.6,27.9,55.773596,37.590506,26000000,1
4,7.0,72.9,9.8,55.76174,37.608311,29500000,1
5,7.0,72.8,7.8,55.764784,37.621004,30000000,6
2,4.0,71.0,7.0,55.765721,37.617518,32350000,1
1,2.0,72.0,11.0,55.744444,37.599408,33000000,1
6,8.0,70.0,22.0,55.760241,37.611347,42900000,1
6,17.0,72.71,12.1,55.761644,37.550567,52450000,5
3,10.0,74.0,20.0,55.764101,37.66044,20990000,5
3,6.0,73.0,6.0,55.754086,37.652661,23000000,1
11,14.0,73.5,9.5,55.738155000000006,37.628604,28000000,1
9,14.0,73.1,10.0,55.788717000000005,37.629888,18500000,1
2,4.0,73.0,10.0,55.781286,37.600388,18500000,1
4,5.0,74.0,12.0,55.773682,37.583436,19500000,1
5,5.0,74.0,12.1,55.73054200000001,37.563413,19500000,1
1,16.0,74.0,11.0,55.776451,37.644252,20000000,3
3,5.0,74.0,9.2,55.772451,37.594755,21500000,1
2,6.0,74.0,8.0,55.775064,37.59666,23900000,1
2,5.0,73.4,8.4,55.762865000000005,37.654071,25000000,1
9,15.0,74.2,8.0,55.779034,37.615893,26000000,1
8,12.0,73.0,10.5,55.735839,37.612551,59500000,1
5,5.0,73.6,6.0,55.767347,37.652634,16500000,1
7,17.0,74.4,12.5,55.743041000000005,37.687659,19400000,3
6,17.0,74.0,8.0,55.774659,37.682134000000005,20900000,1
7,10.0,73.0,9.0,55.736422,37.651735,24900000,1
8,16.0,75.0,9.0,55.78115,37.667087,26400000,1
9,9.0,75.0,9.0,55.736422,37.651735,27800000,1
6,10.0,74.3,11.5,55.750606000000005,37.580355,29700000,1
8,14.0,75.0,7.0,55.745787,37.642743,34000000,1
2,7.0,75.0,15.0,55.740036,37.641261,35000000,5
13,14.0,74.0,8.3,55.720778,37.582897,40000000,6
5,14.0,73.0,17.0,55.722142000000005,37.618569,39990000,1
1,5.0,76.0,7.5,55.772856,37.596884,20999000,1
12,14.0,77.2,10.4,55.721447,37.626241,25500000,1
1,8.0,76.2,6.0,55.739666,37.590668,22000000,1
7,21.0,75.0,13.0,55.761629000000006,37.548151,31000000,2
2,3.0,76.0,21.0,55.76324,37.651825,41040000,2
10,12.0,76.2,11.4,55.725164,37.574525,50200000,5
3,5.0,77.0,11.0,55.774958,37.672971,29950000,5
8,21.0,77.73,14.0,55.761771,37.549184,35950000,5
5,7.0,76.0,14.0,55.71836999999999,37.581325,48000000,6
4,8.0,77.0,13.0,55.73250899999999,37.636841,27490000,1
5,5.0,76.7,9.0,55.785068,37.639626,16800000,6
15,17.0,77.4,9.7,55.730735,37.668606,16920000,3
2,5.0,77.2,8.2,55.73112,37.564635,19990000,6
3,5.0,76.0,12.0,55.73112,37.564635,21000000,1
11,11.0,77.0,9.0,55.721234,37.576816,25000000,1
